ns_vehicles,ew_vehicles,time_of_day,is_emergency,optimal_green_ns,optimal_green_ew
33,16,3,0,49,23
32,24,1,0,48,36
47,27,15,0,70,40
22,1,8,0,38,15
23,34,8,0,34,51
36,36,5,0,54,54
34,4,10,0,51,15
43,0,21,0,64,15
39,39,23,0,58,58
21,11,21,0,31,16
26,35,0,0,39,52
34,44,3,0,51,66
0,22,12,0,15,40
34,46,22,0,51,69
36,30,12,0,53,45
46,10,12,0,69,15
13,9,1,0,23,16
2,2,8,0,20,20
0,13,23,1,10,60
4,15,7,0,15,31
25,9,6,0,37,15
13,28,3,0,19,42
38,9,17,0,56,15
26,11,2,0,39,16
8,29,5,0,15,43
14,40,11,0,21,60
14,0,11,0,40,15
25,4,20,0,37,15
41,19,7,0,61,28
12,7,21,0,25,15
31,42,21,0,46,63
38,11,0,0,57,16
48,0,3,0,72,15
31,19,20,0,46,28
3,27,10,0,15,40
29,42,2,0,43,63
36,36,12,0,54,54
22,46,16,0,33,69
38,36,21,0,57,54
44,11,21,0,66,16
14,36,9,1,10,60
42,48,20,0,56,64
28,48,11,0,42,72
35,43,14,0,52,64
12,27,20,0,18,40
31,46,9,0,46,69
6,14,13,0,15,28
21,5,12,0,32,15
27,43,4,0,40,64
1,19,5,0,15,38
41,49,23,0,54,65
44,13,1,0,66,19
5,1,21,0,33,15
27,8,16,0,40,15
27,36,3,0,40,54
43,19,13,0,64,28
43,25,9,0,64,37
19,28,2,0,28,42
29,0,2,0,43,15
10,34,14,0,15,51
27,5,5,0,40,15
24,36,16,0,36,54
38,4,11,0,57,15
32,32,21,0,48,48
0,48,19,0,15,72
26,13,23,0,39,19
12,11,10,0,20,19
40,41,3,0,59,60
2,19,5,0,15,36
38,49,0,1,60,10
5,23,19,0,15,34
7,42,22,0,15,63
26,33,15,1,60,10
8,24,14,0,15,36
36,49,16,0,50,69
32,28,7,0,48,42
41,38,11,0,61,57
43,30,21,0,64,45
23,46,20,0,34,69
14,42,9,0,21,63
31,49,14,0,46,73
31,22,8,0,46,33
23,43,1,0,34,64
40,37,4,0,59,55
48,19,5,0,72,28
48,22,6,0,72,33
11,44,20,0,16,66
38,15,0,0,56,22
1,49,22,0,15,73
2,41,6,0,15,61
48,7,19,0,72,15
36,49,11,0,50,69
48,20,15,0,72,30
16,0,15,0,40,15
48,7,10,0,72,15
1,28,20,0,15,42
1,31,3,0,15,46
27,37,12,0,40,55
22,4,6,0,33,15
36,46,3,0,52,67
31,21,14,0,46,31
32,46,18,0,48,69
0,33,8,0,15,49
18,0,10,0,40,15
1,25,7,0,15,38
43,42,0,0,60,59
25,9,22,0,37,15
31,29,23,0,46,43
5,49,7,0,15,73
31,17,12,0,46,25
3,16,21,0,15,33
10,25,3,0,15,37
16,7,7,0,27,15
37,46,2,0,53,66
23,39,8,1,60,10
4,48,1,0,15,72
33,11,1,0,49,16
5,26,12,0,15,39
21,7,14,0,31,15
10,24,22,0,15,36
47,45,11,0,61,58
15,3,3,1,60,10
32,32,7,0,48,48
8,0,8,0,40,15
5,18,22,0,15,31
15,30,4,0,22,45
28,15,23,0,42,22
2,13,19,0,15,34
19,47,17,0,28,70
35,4,10,0,52,15
18,40,14,0,27,60
25,25,21,0,37,37
2,27,8,0,15,40
18,1,16,0,37,15
19,49,11,0,28,73
31,5,6,0,46,15
6,8,9,0,17,22
40,32,9,0,60,48
32,40,12,0,48,60
39,24,18,0,58,36
38,47,10,0,53,66
17,12,12,0,25,18
39,8,20,1,60,10
0,12,7,0,15,40
10,30,7,0,15,45
27,40,3,0,40,59
24,10,14,0,36,15
49,3,10,0,73,15
22,33,10,0,33,49
30,37,0,0,45,55
29,45,16,0,43,67
41,3,14,0,61,15
34,37,19,0,51,55
6,18,5,0,15,30
15,5,23,0,30,15
25,33,21,0,37,49
47,17,14,0,70,25
48,12,8,0,72,18
1,40,13,0,15,60
0,22,17,0,15,40
47,18,16,1,10,60
11,44,17,0,16,66
4,10,4,0,15,28
36,0,19,0,54,15
31,23,19,0,46,34
8,6,8,0,22,17
40,24,10,0,60,36
34,20,23,0,51,30
18,14,21,0,27,21
47,0,0,0,70,15
15,11,17,0,23,16
2,6,5,0,15,30
19,14,1,1,10,60
23,20,14,0,34,30
32,18,20,0,48,27
23,28,13,0,34,42
10,24,4,0,15,36
48,32,5,0,72,48
7,48,5,1,60,10
35,31,21,0,52,46
37,48,17,0,52,67
39,34,13,0,58,51
19,43,9,0,28,64
34,37,13,0,51,55
47,25,12,0,70,37
24,10,2,0,36,15
34,34,5,1,10,60
24,7,7,0,36,15
28,45,11,0,42,67
17,13,12,1,10,60
45,9,10,0,67,15
17,1,11,0,37,15
1,45,0,0,15,67
34,8,16,0,51,15
15,2,15,0,35,15
40,20,10,0,60,30
35,25,12,0,52,37
32,7,17,0,48,15
3,47,10,0,15,70
32,1,11,0,48,15
13,5,5,0,28,15
20,27,8,0,30,40
47,28,15,0,70,42
19,25,3,0,28,37
7,24,2,0,15,36
6,11,15,0,15,25
2,4,23,0,15,26
16,33,11,0,23,49
32,47,10,0,48,70
47,36,4,0,67,52
11,14,17,0,17,22
21,43,18,1,60,10
21,35,22,0,31,52
45,14,22,0,67,21
29,42,5,0,43,63
37,47,21,0,52,67
37,22,17,0,55,33
44,5,5,0,66,15
7,45,3,0,15,67
26,49,11,0,39,73
26,43,18,0,39,64
33,42,1,0,49,63
20,44,16,0,30,66
29,20,10,0,43,30
32,22,10,0,48,33
27,42,20,0,40,63
46,15,15,0,69,22
32,46,1,0,48,69
4,14,1,0,15,31
47,24,22,0,70,36
18,35,7,0,27,52
3,10,12,0,15,30
34,14,9,0,51,21
48,3,7,0,72,15
16,20,3,0,24,30
43,12,14,0,64,18
27,21,0,0,40,31
29,18,10,0,43,27
28,33,6,0,42,49
45,13,16,0,67,19
5,3,19,0,25,15
34,47,23,0,50,69
40,45,17,0,56,63
36,26,21,0,54,39
23,28,21,0,34,42
28,46,11,0,42,69
48,27,8,0,72,40
45,34,4,0,67,51
30,7,9,0,45,15
34,15,3,0,51,22
32,41,4,0,48,61
20,35,9,0,30,52
31,29,10,0,46,43
22,17,20,0,33,25
32,1,23,0,48,15
2,48,9,0,15,72
17,12,7,0,25,18
24,3,1,0,36,15
41,25,22,0,61,37
30,24,7,0,45,36
2,29,15,0,15,43
39,10,21,0,58,15
45,6,4,0,67,15
23,30,2,1,10,60
49,43,11,0,63,56
31,9,12,0,46,15
46,38,12,0,65,54
21,12,9,0,31,18
22,30,3,0,33,44
1,6,8,0,15,34
26,48,21,1,10,60
41,41,23,0,60,60
1,41,22,0,15,61
25,35,1,0,37,52
16,19,18,0,24,28
39,3,0,0,58,15
32,6,6,0,48,15
8,0,16,0,40,15
42,43,2,0,59,60
47,44,19,0,61,58
38,41,19,0,57,61
28,46,20,0,42,69
41,12,2,0,61,18
25,21,2,0,37,31
34,20,16,0,51,30
49,21,6,0,73,31
24,27,13,0,36,40
23,8,16,0,34,15
12,25,17,0,18,37
6,8,12,0,17,22
35,14,19,0,52,21
44,9,19,0,66,15
19,23,20,0,28,34
0,41,17,0,15,61
7,7,3,0,20,20
45,23,0,0,67,34
15,15,17,0,22,22
13,48,0,0,19,72
11,25,12,0,16,37
22,26,19,0,33,39
14,36,19,0,21,54
27,3,22,0,40,15
33,49,9,0,48,71
1,23,10,0,15,38
31,18,8,0,46,27
22,35,8,0,33,52
21,38,4,0,31,56
24,9,0,0,36,15
21,24,16,0,31,36
21,17,21,0,31,25
48,18,1,0,72,26
41,35,23,0,61,52
5,9,12,0,15,25
14,32,8,0,21,48
42,49,3,0,55,64
36,4,4,0,54,15
32,46,10,0,48,69
7,48,23,0,15,72
43,34,18,0,64,51
43,43,20,0,60,60
4,33,2,0,15,49
38,32,11,0,56,48
3,20,18,0,15,34
5,16,18,0,15,30
44,21,12,1,60,10
31,47,6,0,46,70
29,36,14,0,43,54
46,14,22,0,69,21
34,34,6,0,51,51
39,27,7,0,58,40
15,6,4,0,28,15
12,31,20,0,18,46
49,10,13,0,73,15
41,9,3,1,60,10
29,8,22,0,43,15
18,13,9,0,27,19
16,12,19,0,24,18
18,24,14,0,27,36
27,1,17,0,40,15
25,34,19,0,37,51
36,6,12,0,54,15
25,20,7,0,37,30
22,17,8,0,33,25
8,2,15,0,32,15
11,41,18,0,16,61
0,38,15,0,15,57
0,40,6,0,15,60
46,48,13,0,58,61
33,10,13,1,10,60
31,38,3,0,46,57
47,23,14,0,70,34
24,45,2,0,36,67
39,18,4,0,58,27
44,3,0,0,66,15
0,25,2,0,15,40
15,37,14,0,22,55
38,41,23,0,57,61
4,31,7,0,15,46
21,38,3,0,31,56
28,44,1,0,42,66
2,45,23,0,15,67
11,35,23,0,16,52
25,39,9,0,37,58
15,36,3,0,22,54
36,32,2,0,54,48
21,35,1,0,31,52
28,2,16,0,42,15
13,8,22,0,24,15
27,7,20,0,40,15
4,32,23,1,60,10
46,5,19,0,69,15
48,40,22,1,60,10
29,38,12,0,43,57
45,3,4,1,60,10
4,12,20,0,15,30
11,48,8,0,16,72
15,1,21,0,37,15
25,4,5,0,37,15
25,43,4,0,37,64
47,26,9,0,70,39
20,31,7,0,30,46
38,20,6,0,57,30
35,7,6,0,52,15
32,37,5,0,48,55
29,7,20,0,43,15
36,49,19,0,50,69
22,2,2,0,36,15
9,43,18,0,15,64
4,2,21,0,26,15
35,21,14,0,52,31
33,5,3,1,10,60
30,1,11,0,45,15
9,22,5,0,15,33
18,43,18,0,27,64
31,1,3,0,46,15
0,37,14,0,15,55
4,16,8,0,15,32
44,34,4,0,66,51
3,33,12,0,15,49
15,22,22,0,22,33
23,29,17,0,34,43
15,7,4,0,27,15
1,21,15,0,15,38
48,43,18,0,63,56
27,35,13,0,40,52
31,4,15,1,10,60
26,12,14,0,39,18
19,28,21,0,28,42
23,30,3,0,34,45
11,46,6,0,16,69
49,15,15,0,73,22
34,41,23,0,51,61
32,29,21,0,48,43
32,15,20,0,48,22
42,11,21,0,63,16
36,16,20,1,60,10
11,15,7,0,16,23
2,11,16,0,15,33
0,7,15,0,15,40
32,19,22,0,48,28
39,2,9,0,58,15
9,15,9,0,15,25
42,29,1,0,63,43
43,44,8,0,59,60
28,22,16,0,42,33
12,27,10,0,18,40
11,39,9,0,16,58
30,4,21,0,45,15
45,19,16,0,67,28
1,39,3,0,15,58
49,43,15,0,63,56
34,0,19,0,51,15
22,29,14,0,33,43
16,20,20,0,24,30
25,19,4,0,37,28
7,5,5,0,23,16
28,21,16,0,42,31
25,17,0,0,37,25
9,7,18,0,22,17
25,38,3,0,37,57
33,31,16,0,49,46
40,32,8,0,60,48
6,15,23,0,15,28
3,11,1,0,15,31
49,37,7,0,68,51
44,33,14,0,66,49
10,13,6,0,17,22
28,35,5,0,42,52
35,32,0,0,52,48
24,22,14,0,36,33
20,49,22,0,30,73
35,44,6,0,52,66
9,1,16,0,36,15
36,40,1,0,54,60
8,20,8,0,15,30
23,1,8,0,38,15
34,26,12,0,51,39
48,8,5,0,72,15
34,0,5,0,51,15
47,10,19,0,70,15
35,2,19,0,52,15
17,22,20,0,25,33
48,25,2,0,72,37
38,3,16,0,57,15
31,17,16,0,46,25
23,5,11,0,34,15
22,34,15,0,33,50
31,21,14,0,46,31
36,42,12,0,54,63
11,14,22,0,17,22
48,21,0,0,72,31
12,36,16,0,18,54
22,41,2,0,33,61
24,11,14,0,36,16
34,46,3,0,51,69
40,48,3,0,54,65
29,41,17,0,43,61
16,37,16,0,24,55
48,17,18,0,72,25
19,44,10,0,28,66
47,34,19,0,69,50
24,29,2,0,36,43
21,23,7,0,31,34
12,41,13,0,18,61
18,29,0,0,27,43
48,13,13,0,72,19
35,5,1,0,52,15
11,2,22,0,33,15
40,15,3,0,60,22
18,6,23,0,30,15
11,13,18,0,18,21
8,8,5,0,20,20
6,14,0,0,15,28
27,20,16,0,40,30
13,34,7,0,19,51
30,1,18,0,45,15
18,26,20,0,27,39
46,1,0,0,69,15
15,34,4,0,22,51
4,17,15,0,15,32
34,13,5,0,51,19
11,19,7,0,16,28
24,17,12,0,36,25
20,9,15,0,30,15
35,24,2,0,52,36
22,1,18,0,38,15
15,24,11,0,22,36
38,32,15,0,56,48
44,35,10,0,66,52
41,30,9,0,61,45
38,13,19,0,57,19
13,0,3,0,40,15
30,45,11,0,45,67
4,15,22,0,15,31
34,45,1,0,51,67
22,2,23,0,36,15
28,34,21,0,42,50
42,40,18,0,61,58
10,5,4,0,26,15
17,24,7,0,25,36
46,12,6,0,69,18
11,33,13,0,16,49
8,7,23,0,21,18
9,20,22,0,15,30
43,33,2,0,64,49
16,3,17,0,33,15
37,24,15,0,55,36
6,14,22,0,15,28
45,3,18,0,67,15
12,44,18,0,18,66
39,11,17,0,58,16
41,31,19,0,61,46
8,31,15,0,15,46
49,27,7,0,73,40
26,12,0,0,39,18
1,30,16,0,15,45
4,13,11,0,15,30
28,19,20,0,42,28
36,17,10,1,60,10
37,28,4,0,55,42
18,5,11,0,31,15
7,31,16,0,15,46
47,28,5,0,70,42
44,42,0,0,61,58
0,1,4,0,15,40
21,22,13,0,31,33
16,18,4,0,24,27
6,30,21,0,15,45
24,4,23,0,36,15
44,18,0,0,66,27
3,33,17,0,15,49
35,9,15,0,52,15
5,24,8,0,15,36
30,1,18,0,45,15
18,10,21,0,27,15
43,49,4,0,56,63
38,30,1,0,57,45
26,14,14,0,39,21
9,8,6,0,21,18
25,22,3,0,37,33
18,18,0,0,27,27
38,8,12,0,57,15
2,34,19,0,15,51
44,20,21,0,66,30
12,8,6,0,24,16
49,27,14,0,73,40
27,45,22,0,40,67
19,6,13,0,30,15
27,15,22,0,40,22
7,15,18,0,15,27
40,32,21,0,60,48
38,3,23,0,57,15
0,3,19,0,15,40
2,38,23,0,15,57
12,39,17,0,18,58
27,16,9,0,40,24
48,36,8,0,68,51
24,38,7,0,36,57
32,28,9,0,48,42
37,35,16,0,55,52
5,37,1,0,15,55
43,38,5,0,63,56
44,49,4,0,56,63
31,36,8,0,46,54
44,34,4,0,66,51
46,6,17,0,69,15
20,26,19,0,30,39
15,27,8,0,22,40
20,21,16,0,30,31
10,13,16,0,17,22
36,6,11,0,54,15
35,36,6,0,52,54
34,21,2,0,51,31
18,4,9,1,60,10
19,1,1,0,38,15
17,26,2,0,25,39
46,20,15,0,69,30
40,37,1,0,59,55
48,14,23,0,72,21
13,20,9,0,19,30
14,9,5,0,24,15
30,22,21,1,10,60
0,38,10,0,15,57
2,4,22,0,15,26
15,0,6,0,40,15
22,12,14,0,33,18
10,20,5,0,15,30
11,25,19,0,16,37
9,49,8,0,15,73
31,44,21,0,46,66
15,20,19,0,22,30
7,17,11,0,15,28
37,36,18,0,55,54
11,44,19,1,10,60
23,31,2,0,34,46
27,35,14,0,40,52
7,16,1,0,15,27
27,34,20,0,40,50
35,48,1,0,50,69
25,10,21,0,37,15
7,20,2,0,15,30
49,25,5,0,73,37
27,3,14,0,40,15
27,33,9,0,40,49
36,47,8,0,52,67
40,17,0,0,60,25
35,39,15,0,52,58
26,34,5,0,39,51
16,40,8,0,24,60
8,28,3,0,15,42
32,28,1,0,48,42
19,37,3,0,28,55
12,41,0,0,18,61
27,20,18,0,40,30
47,41,9,1,60,10
28,12,20,0,42,18
12,48,14,1,10,60
45,40,21,0,63,56
34,16,18,0,51,24
5,8,15,0,15,24
17,40,20,0,25,60
4,0,23,0,40,15
46,1,21,0,69,15
24,47,3,0,36,70
1,28,1,0,15,42
9,32,12,0,15,48
29,9,0,0,43,15
49,49,16,0,60,60
44,39,12,0,63,56
4,20,3,0,15,33
32,27,6,0,48,40
0,10,16,0,15,40
17,33,8,0,25,49
31,7,3,0,46,15
46,21,18,0,69,31
48,7,0,0,72,15
10,48,9,0,15,72
20,14,3,0,30,21
25,16,8,0,37,24
24,22,12,0,36,33
21,23,13,0,31,34
26,44,9,0,39,66
48,18,5,0,72,26
12,4,15,0,30,15
32,31,5,0,48,46
33,43,16,0,49,64
40,0,9,0,60,15
34,22,17,0,50,33
0,36,21,0,15,54
20,7,17,0,30,15
47,12,2,0,70,18
5,7,19,0,16,23
27,22,20,0,40,33
16,42,14,0,24,63
4,0,14,0,40,15
30,44,3,0,45,66
4,23,8,0,15,34
37,34,18,0,55,51
2,23,23,0,15,36
22,16,16,0,33,24
36,4,10,0,54,15
36,19,8,0,54,28
9,20,9,0,15,30
9,39,17,0,15,58
18,30,19,0,27,45
16,45,12,0,24,67
20,35,7,0,30,52
13,10,6,0,22,17
8,14,16,0,15,25
45,18,20,0,67,27
0,6,22,0,15,40
44,27,14,0,66,40
12,42,19,0,18,63
3,4,14,0,17,22
0,4,0,0,15,40
48,29,13,0,72,43
39,31,4,0,58,46
31,7,10,0,46,15
33,9,15,0,49,15
27,37,1,0,40,55
30,46,7,0,45,69
7,31,10,0,15,46
38,47,17,0,53,66
25,27,2,0,37,40
33,16,0,0,49,23
2,30,10,0,15,45
49,7,15,0,73,15
11,39,17,0,16,58
0,24,15,0,15,40
43,8,22,0,64,15
4,1,9,0,32,15
29,14,17,0,43,21
29,49,5,0,43,73
16,2,18,0,35,15
47,48,3,0,59,60
46,35,12,0,68,51
22,3,23,0,35,15
14,13,13,0,21,19
36,40,2,0,54,60
20,40,9,0,30,60
13,24,5,0,19,36
1,49,0,1,60,10
10,9,22,0,21,18
38,20,23,0,57,30
37,35,13,0,55,52
33,11,7,0,49,16
37,26,18,1,10,60
49,39,13,1,10,60
33,1,9,0,49,15
17,12,16,0,25,18
29,31,8,0,43,46
14,30,5,0,21,45
26,15,10,0,39,22
33,31,6,0,49,46
37,31,16,0,55,46
32,33,0,0,48,49
23,10,21,1,60,10
14,9,4,0,24,15
29,14,8,0,43,21
41,16,17,0,61,24
16,39,23,0,24,58
4,17,20,0,15,32
28,8,1,0,42,15
3,24,10,1,60,10
9,39,5,0,15,58
16,13,7,0,24,19
9,24,3,0,15,36
16,49,17,0,24,73
19,21,10,0,28,31
23,29,4,0,34,43
4,19,14,0,15,33
33,20,17,0,49,30
5,43,1,0,15,64
1,31,21,0,15,46
12,45,10,0,18,67
42,48,12,0,56,64
42,20,3,0,62,30
47,34,21,0,69,50
10,31,6,0,15,46
46,29,10,0,69,43
22,38,21,0,33,57
15,48,23,0,22,72
30,11,3,0,45,16
10,40,14,0,15,60
15,46,0,0,22,69
7,17,22,0,15,28
3,20,2,0,15,34
39,12,13,0,58,18
3,20,5,1,10,60
24,7,17,0,36,15
2,45,0,0,15,67
31,39,5,0,46,58
2,45,5,1,10,60
26,6,20,0,39,15
28,22,15,0,42,33
31,43,4,0,46,64
49,31,16,0,73,46
18,10,9,0,27,15
20,21,20,0,30,31
4,21,17,0,15,33
17,42,6,0,25,63
27,24,2,0,40,36
41,21,12,0,61,31
21,27,14,0,31,40
20,28,19,0,30,42
5,12,18,0,15,28
0,17,2,0,15,40
4,1,3,0,32,15
40,28,4,1,60,10
11,20,0,0,16,30
25,14,3,0,37,21
45,26,11,1,10,60
33,49,23,0,48,71
48,30,9,0,72,45
13,14,22,0,19,21
25,22,20,0,37,33
44,23,19,0,66,34
26,43,23,0,39,64
8,12,12,0,16,24
25,21,22,0,37,31
46,42,13,0,62,57
21,36,22,0,31,54
46,32,4,0,69,48
29,2,3,0,43,15
42,18,13,0,62,27
47,22,9,0,70,33
16,28,16,0,24,42
25,29,9,0,37,43
35,38,6,0,52,57
0,43,15,0,15,64
7,46,0,0,15,69
48,24,16,0,72,36
34,36,20,0,51,53
14,46,8,0,21,69
46,7,5,0,69,15
21,41,18,0,31,61
13,15,12,0,19,22
25,7,2,0,37,15
27,0,6,0,40,15
22,43,21,0,33,64
13,4,8,0,30,15
23,2,21,0,36,15
1,0,4,1,60,10
44,3,9,0,66,15
25,39,22,0,37,58
13,34,16,0,19,51
6,31,11,0,15,46
2,41,22,0,15,61
46,33,15,0,69,49
22,42,2,0,33,63
45,24,21,0,67,36
42,9,8,0,63,15
46,20,14,0,69,30
44,45,4,0,59,60
17,38,22,0,25,57
37,26,12,0,55,39
34,26,13,0,51,39
14,1,19,0,37,15
24,40,14,0,36,60
36,47,15,0,52,67
27,12,22,0,40,18
9,8,12,0,21,18
38,35,16,0,57,52
16,21,22,0,24,31
38,41,7,0,57,61
21,25,20,0,31,37
25,11,1,0,37,16
43,16,4,0,64,24
24,13,5,0,36,19
16,13,11,0,24,19
12,33,17,0,18,49
19,19,21,0,28,28
24,10,21,0,36,15
3,15,0,0,15,33
9,30,16,0,15,45
2,5,10,0,15,28
40,18,9,0,60,27
44,36,18,0,66,54
17,3,13,0,34,15
46,46,9,0,60,60
35,3,14,0,52,15
46,19,18,0,69,28
21,9,3,0,31,15
33,23,1,0,49,34
46,34,8,0,69,51
7,25,9,0,15,37
39,36,10,0,58,54
48,37,13,0,67,52
43,20,6,0,64,30
18,39,22,0,27,58
41,38,14,0,61,57
40,20,21,0,60,30
36,9,18,0,54,15
5,37,21,0,15,55
25,45,14,0,37,67
33,3,23,0,49,15
44,44,7,0,60,60
5,19,10,0,15,31
36,16,8,0,54,24
32,6,14,0,48,15
21,3,0,0,35,15
20,28,0,0,30,42
5,13,18,0,15,28
5,2,2,0,28,15
47,23,9,0,70,34
3,36,7,0,15,54
29,15,14,0,43,22
10,3,9,0,30,15
29,23,0,0,43,34
30,33,17,0,45,49
23,29,1,0,34,43
8,17,18,0,15,27
2,18,12,0,15,36
30,30,21,1,60,10
39,18,0,0,58,27
36,48,1,0,51,68
35,45,15,0,52,67
23,18,14,0,34,27
30,21,12,0,45,31
5,23,15,0,15,34
1,44,16,0,15,66
19,11,20,0,28,16
27,29,6,0,40,43
10,37,23,0,15,55
3,30,16,0,15,45
14,35,6,0,21,52
5,18,12,0,15,31
48,47,4,0,60,59
29,44,16,0,43,66
37,35,2,0,55,52
1,29,6,0,15,43
14,48,16,0,21,72
10,32,6,0,15,48
7,17,20,0,15,28
25,48,0,0,37,72
44,27,16,0,66,40
43,46,16,0,57,62
4,10,10,0,15,28
5,44,2,0,15,66
25,32,14,0,37,48
3,16,20,0,15,33
18,5,10,1,10,60
19,3,15,0,34,15
32,19,21,0,48,28
19,47,8,0,28,70
48,46,23,0,61,58
11,26,23,0,16,39
46,14,0,0,69,21
0,5,21,0,15,40
25,46,15,0,37,69
13,13,8,0,20,20
37,10,18,0,55,15
36,38,11,0,54,57
10,8,18,0,22,17
35,25,21,0,52,37
12,15,8,0,18,22
42,4,6,0,62,15
2,9,13,0,15,32
32,49,18,0,47,72
5,2,18,0,28,15
49,12,1,0,73,18
9,42,8,0,15,63
4,48,12,0,15,72
22,29,14,0,33,43
9,44,2,0,15,66
43,5,10,0,64,15
1,16,20,0,15,37
12,44,13,0,18,66
39,18,7,0,58,27
1,41,17,0,15,61
19,34,18,0,28,51
0,45,15,0,15,67
36,25,1,0,54,37
8,4,7,0,26,15
16,28,21,0,24,42
8,36,5,0,15,54
10,19,11,0,15,28
14,48,14,0,21,72
23,20,7,0,34,30
37,9,3,0,55,15
34,4,14,0,51,15
29,35,19,0,43,52
30,5,16,0,45,15
48,25,12,0,72,37
4,3,17,0,22,17
43,38,1,0,63,56
49,38,12,0,67,52
13,49,12,0,19,73
10,34,21,0,15,51
8,0,14,0,40,15
33,23,19,0,49,34
11,35,9,0,16,52
34,5,2,0,51,15
34,40,18,0,51,60
0,45,2,0,15,67
39,43,21,0,57,62
21,30,13,0,31,45
28,19,7,0,42,28
7,23,22,0,15,34
10,24,3,0,15,36
40,35,19,0,60,52
36,20,10,0,54,30
13,29,10,0,19,43
29,23,10,0,43,34
34,43,1,0,51,64
20,41,16,0,29,61
36,29,8,0,54,43
4,21,1,0,15,33
18,27,23,0,27,40
13,6,14,0,27,15
25,34,15,0,37,51
3,27,3,0,15,40
24,13,7,0,36,19
44,9,8,0,66,15
41,15,4,0,61,22
24,15,15,0,36,22
17,30,12,0,25,45
39,41,6,0,58,61
7,24,19,0,15,36
38,12,16,0,57,18
39,5,2,0,58,15
13,43,4,0,19,64
31,8,18,0,46,15
37,44,11,0,54,65
32,35,6,0,48,52
22,42,8,0,33,63
14,19,5,0,21,28
32,17,16,0,47,25
24,42,15,0,36,63
16,20,22,0,24,30
32,3,2,0,48,15
46,49,20,0,58,61
1,32,3,0,15,48
13,26,9,0,19,39
39,6,4,0,58,15
39,5,20,0,58,15
38,14,21,0,57,21
5,17,9,0,15,30
5,31,11,0,15,46
2,10,9,0,15,33
6,19,12,0,15,30
7,23,10,0,15,34
41,14,21,0,61,20
14,47,15,0,21,70
46,6,7,0,69,15
28,20,7,0,42,30
32,41,7,0,48,61
29,25,12,0,43,37
38,43,1,0,56,63
26,13,11,0,39,19
35,36,9,0,52,54
28,20,11,0,42,30
37,17,10,0,55,25
32,4,14,0,48,15
36,2,15,0,54,15
26,22,16,0,39,33
32,25,1,0,48,37
3,36,17,1,60,10
